sample_no,docid,sentence1,sentence2,location1,location2,event1,event2,sent1_id,sent2_id,same_sent,predicted
0,10938_20000214.txt,"Egipto [ necesita ] más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .","Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se [ encuentran ] en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .",1,19,necesita,encuentran,1,1,1,BEFORE
1,10938_20000214.txt,"Egipto [ necesita ] más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .","Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , [ dijo ] el ministro egipcio de Asuntos Exteriores , Amro Musa .",1,27,necesita,dijo,1,1,1,BEFORE
2,10938_20000214.txt,"Egipto [ necesita ] más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .","Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que [ hay ] más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , señaló .",1,22,necesita,hay,1,2,0,AFTER
3,10938_20000214.txt,"Egipto [ necesita ] más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .","Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que hay más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , [ señaló ] .",1,53,necesita,señaló,1,2,0,AFTER
4,10938_20000214.txt,"Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se [ encuentran ] en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .","Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , [ dijo ] el ministro egipcio de Asuntos Exteriores , Amro Musa .",19,27,encuentran,dijo,1,1,1,VAGUE
5,10938_20000214.txt,"Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se [ encuentran ] en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .","Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que [ hay ] más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , señaló .",19,22,encuentran,hay,1,2,0,AFTER
6,10938_20000214.txt,"Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se [ encuentran ] en diferentes zonas de este país , dijo el ministro egipcio de Asuntos Exteriores , Amro Musa .","Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que hay más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , [ señaló ] .",19,53,encuentran,señaló,1,2,0,BEFORE
7,10938_20000214.txt,"Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , [ dijo ] el ministro egipcio de Asuntos Exteriores , Amro Musa .","Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que [ hay ] más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , señaló .",27,22,dijo,hay,1,2,0,BEFORE
8,10938_20000214.txt,"Egipto necesita más de 250 millones de dólares para eliminar los campos de minas de distintos tipos que se encuentran en diferentes zonas de este país , [ dijo ] el ministro egipcio de Asuntos Exteriores , Amro Musa .","Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que hay más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , [ señaló ] .",27,53,dijo,señaló,1,2,0,BEFORE
9,10938_20000214.txt,"Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que [ hay ] más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , señaló .","Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que hay más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , [ señaló ] .",22,53,hay,señaló,2,2,1,AFTER
10,10938_20000214.txt,"Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que [ hay ] más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , señaló .","Las afirmaciones de Musa , a quien [ cita ] hoy , lunes , la prensa local , coinciden con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",22,7,hay,cita,2,3,0,AFTER
11,10938_20000214.txt,"Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que [ hay ] más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , señaló .","Las afirmaciones de Musa , a quien cita hoy , lunes , la prensa local , [ coinciden ] con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",22,16,hay,coinciden,2,3,0,BEFORE
12,10938_20000214.txt,"Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que hay más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , [ señaló ] .","Las afirmaciones de Musa , a quien [ cita ] hoy , lunes , la prensa local , coinciden con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",53,7,señaló,cita,2,3,0,BEFORE
13,10938_20000214.txt,"Al menos 23 millones de minas están enterradas en el Desierto Occidental de Egipto desde la segunda Guerra Mundial , mientras que hay más de otros tres millones de artefactos similares en el Sinaí y a lo largo del Canal de Suez desde las guerras árabe-israelíes de 1956 , 1967 y 1973 , [ señaló ] .","Las afirmaciones de Musa , a quien cita hoy , lunes , la prensa local , [ coinciden ] con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",53,16,señaló,coinciden,2,3,0,AFTER
14,10938_20000214.txt,"Las afirmaciones de Musa , a quien [ cita ] hoy , lunes , la prensa local , coinciden con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .","Las afirmaciones de Musa , a quien cita hoy , lunes , la prensa local , [ coinciden ] con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",7,16,cita,coinciden,3,3,1,BEFORE
15,10938_20000214.txt,"Las afirmaciones de Musa , a quien [ cita ] hoy , lunes , la prensa local , coinciden con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",""" La ayuda que nos han [ enviado ] la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , dijo Musa .",7,6,cita,enviado,3,4,0,AFTER
16,10938_20000214.txt,"Las afirmaciones de Musa , a quien [ cita ] hoy , lunes , la prensa local , coinciden con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) [ es ] muy limitada "" , dijo Musa .",7,34,cita,es,3,4,0,BEFORE
17,10938_20000214.txt,"Las afirmaciones de Musa , a quien [ cita ] hoy , lunes , la prensa local , coinciden con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",""" La ayuda que nos han enviado la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , [ dijo ] Musa .",7,39,cita,dijo,3,4,0,AFTER
18,10938_20000214.txt,"Las afirmaciones de Musa , a quien cita hoy , lunes , la prensa local , [ coinciden ] con la presencia estos días en Egipto de una delegación de especialistas de las Naciones Unidas para tratar con las autoridades de este país sobre las posibilidades de eliminar esos artefactos en el territorio egipcio .",""" La ayuda que nos han [ enviado ] la comunidad internacional y los países involucrados en la guerra de Al Alamin , en el Desierto Occidental , ( Gran Bretaña , Alemania e Italia ) es muy limitada "" , dijo Musa .",16,6,coinciden,enviado,3,4,0,AFTER
