sample_no,docid,sentence1,sentence2,location1,location2,event1,event2,sent1_id,sent2_id,same_sent,predicted
0,2003-01-27-0129,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a [ créé ] la polémique lors du traditionnel dîner annuel du CRIF en assimilant antisionisme et antisémitisme et en dénonçant une « alliance brun - vert - rouge » .,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a créé la polémique lors du traditionnel dîner annuel du CRIF en [ assimilant ] antisionisme et antisémitisme et en dénonçant une « alliance brun - vert - rouge » .,13,24,créé,assimilant,0,0,1,AFTER
1,2003-01-27-0129,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a [ créé ] la polémique lors du traditionnel dîner annuel du CRIF en assimilant antisionisme et antisémitisme et en dénonçant une « alliance brun - vert - rouge » .,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a créé la polémique lors du traditionnel dîner annuel du CRIF en assimilant antisionisme et antisémitisme et en [ dénonçant ] une « alliance brun - vert - rouge » .,13,30,créé,dénonçant,0,0,1,AFTER
2,2003-01-27-0129,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a [ créé ] la polémique lors du traditionnel dîner annuel du CRIF en assimilant antisionisme et antisémitisme et en dénonçant une « alliance brun - vert - rouge » .,Cette déclaration a [ provoqué ] le départ du nouveau secrétaire national des Verts Gilles Lemaire .,13,3,créé,provoqué,0,1,0,BEFORE
3,2003-01-27-0129,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a créé la polémique lors du traditionnel dîner annuel du CRIF en [ assimilant ] antisionisme et antisémitisme et en dénonçant une « alliance brun - vert - rouge » .,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a créé la polémique lors du traditionnel dîner annuel du CRIF en assimilant antisionisme et antisémitisme et en [ dénonçant ] une « alliance brun - vert - rouge » .,24,30,assimilant,dénonçant,0,0,1,AFTER
4,2003-01-27-0129,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a créé la polémique lors du traditionnel dîner annuel du CRIF en [ assimilant ] antisionisme et antisémitisme et en dénonçant une « alliance brun - vert - rouge » .,Cette déclaration a [ provoqué ] le départ du nouveau secrétaire national des Verts Gilles Lemaire .,24,3,assimilant,provoqué,0,1,0,BEFORE
5,2003-01-27-0129,Le président du Conseil représentatif des institutions juives de France Roger Cukierman a créé la polémique lors du traditionnel dîner annuel du CRIF en assimilant antisionisme et antisémitisme et en [ dénonçant ] une « alliance brun - vert - rouge » .,Cette déclaration a [ provoqué ] le départ du nouveau secrétaire national des Verts Gilles Lemaire .,30,3,dénonçant,provoqué,0,1,0,AFTER
6,1999-05-21-0104,"Un chauffeur de bus de 38 ans a été [ pris ] à partie et agressé par deux individus , hier vers 18 h , place de la Mairie à Valdoie .","Un chauffeur de bus de 38 ans a été pris à partie et [ agressé ] par deux individus , hier vers 18 h , place de la Mairie à Valdoie .",9,13,pris,agressé,1,1,1,BEFORE
7,1999-05-21-0104,"Un chauffeur de bus de 38 ans a été [ pris ] à partie et agressé par deux individus , hier vers 18 h , place de la Mairie à Valdoie .","Deux gardiens de la paix , qui [ tentaient ] de s ' interposer , ont été légèrement blessés à leur tour .",9,7,pris,tentaient,1,2,0,BEFORE
8,1999-05-21-0104,"Un chauffeur de bus de 38 ans a été [ pris ] à partie et agressé par deux individus , hier vers 18 h , place de la Mairie à Valdoie .","Deux gardiens de la paix , qui tentaient de s ' interposer , ont été légèrement [ blessés ] à leur tour .",9,16,pris,blessés,1,2,0,BEFORE
9,1999-05-21-0104,"Un chauffeur de bus de 38 ans a été pris à partie et [ agressé ] par deux individus , hier vers 18 h , place de la Mairie à Valdoie .","Deux gardiens de la paix , qui [ tentaient ] de s ' interposer , ont été légèrement blessés à leur tour .",13,7,agressé,tentaient,1,2,0,BEFORE
