qualtrics_file_No,test_id,annotation,response
3,169,AFTER,incorrect
3,2213,EQUAL,incorrect
3,1564,BEFORE,incorrect
3,2517,BEFORE,correct
3,2272,VAGUE,incorrect
3,1650,BEFORE,incorrect
3,714,BEFORE,incorrect
3,2222,AFTER,correct
3,563,AFTER,incorrect
3,1918,BEFORE,correct
4,235,BEFORE,correct
4,3525,BEFORE,incorrect
4,1424,BEFORE,correct
4,147,BEFORE,incorrect
4,2122,VAGUE,correct
4,962,EQUAL,incorrect
4,1285,EQUAL,correct
4,1413,BEFORE,correct
4,755,BEFORE,incorrect
4,1514,AFTER,correct
5,1316,AFTER,correct
5,198,BEFORE,incorrect
5,1570,BEFORE,incorrect
5,2661,BEFORE,correct
5,3569,EQUAL,incorrect
5,3245,BEFORE,incorrect
5,1843,AFTER,correct
5,1599,BEFORE,incorrect
5,1997,AFTER,correct
5,233,AFTER,incorrect
6,2939,AFTER,correct
6,2183,AFTER,incorrect
6,1590,BEFORE,incorrect
6,1703,AFTER,correct
6,931,AFTER,correct
6,2480,AFTER,incorrect
6,1039,AFTER,incorrect
6,682,BEFORE,incorrect
6,2543,AFTER,incorrect
6,2370,BEFORE,correct
15,1481,BEFORE,correct
15,1847,AFTER,correct
15,3008,AFTER,incorrect
15,1216,EQUAL,incorrect
15,2716,EQUAL,incorrect
15,3886,AFTER,incorrect
15,2329,EQUAL,incorrect
15,2259,BEFORE,incorrect
15,1502,BEFORE,incorrect
15,1062,BEFORE,correct
