qualtrics_file_No,test_id,annotation,response
1,360,BEFORE,correct
1,251,AFTER,correct
1,390,BEFORE,correct
1,343,EQUAL,correct
1,706,AFTER,correct
1,604,BEFORE,incorrect
1,337,BEFORE,correct
1,68,BEFORE,incorrect
1,362,VAGUE,correct
1,111,VAGUE,incorrect
2,682,BEFORE,incorrect
2,85,BEFORE,correct
2,413,BEFORE,incorrect
2,86,BEFORE,correct
2,654,BEFORE,incorrect
2,475,EQUAL,incorrect
2,13,AFTER,incorrect
2,225,AFTER,incorrect
2,222,EQUAL,incorrect
2,482,EQUAL,incorrect
10,529,AFTER,incorrect
10,127,AFTER,correct
10,192,BEFORE,incorrect
10,16,BEFORE,incorrect
10,321,BEFORE,correct
10,450,AFTER,incorrect
10,496,BEFORE,incorrect
10,54,AFTER,incorrect
10,731,EQUAL,correct
10,249,VAGUE,correct
11,693,AFTER,incorrect
11,92,BEFORE,incorrect
11,696,BEFORE,incorrect
11,26,AFTER,incorrect
11,597,VAGUE,correct
11,665,VAGUE,incorrect
11,420,BEFORE,incorrect
11,680,BEFORE,correct
11,173,AFTER,correct
11,710,BEFORE,correct
12,622,AFTER,correct
12,756,BEFORE,correct
12,652,BEFORE,correct
12,56,BEFORE,correct
12,308,BEFORE,incorrect
12,513,AFTER,correct
12,247,AFTER,incorrect
12,448,BEFORE,correct
12,709,VAGUE,correct
12,762,VAGUE,incorrect
