sample_no,docid,sentence1,sentence2,location1,location2,event1,event2,sent1_id,sent2_id,same_sent,predicted
0,adige20040907_id405597,ALENSE - dopo il brillantissimo precampionato ci si [ attendeva ] una partenza lanciata dall' ambizioso undici di Improta .,Invece si è [ dovuto ] accontentare di un punticino senza reti e anche senza troppe recriminazioni .,8,3,attendeva,dovuto,0,1,0,BEFORE
1,adige20040907_id405597,ALENSE - dopo il brillantissimo precampionato ci si [ attendeva ] una partenza lanciata dall' ambizioso undici di Improta .,Invece si è dovuto [ accontentare ] di un punticino senza reti e anche senza troppe recriminazioni .,8,4,attendeva,accontentare,0,1,0,BEFORE
2,adige20040907_id405597,Invece si è [ dovuto ] accontentare di un punticino senza reti e anche senza troppe recriminazioni .,Invece si è dovuto [ accontentare ] di un punticino senza reti e anche senza troppe recriminazioni .,3,4,dovuto,accontentare,1,1,1,EQUAL
3,adige20040907_id405597,Invece si è [ dovuto ] accontentare di un punticino senza reti e anche senza troppe recriminazioni .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a [ vincere ] il campionato è stata proprio la squadra che all' esordio aveva affrontato il Salorno .,3,15,dovuto,vincere,1,2,0,BEFORE
4,adige20040907_id405597,Invece si è [ dovuto ] accontentare di un punticino senza reti e anche senza troppe recriminazioni .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è [ stata ] proprio la squadra che all' esordio aveva affrontato il Salorno .,3,19,dovuto,stata,1,2,0,AFTER
5,adige20040907_id405597,Invece si è [ dovuto ] accontentare di un punticino senza reti e anche senza troppe recriminazioni .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è stata proprio la squadra che all' esordio aveva [ affrontato ] il Salorno .,3,27,dovuto,affrontato,1,2,0,AFTER
6,adige20040907_id405597,Invece si è dovuto [ accontentare ] di un punticino senza reti e anche senza troppe recriminazioni .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a [ vincere ] il campionato è stata proprio la squadra che all' esordio aveva affrontato il Salorno .,4,15,accontentare,vincere,1,2,0,BEFORE
7,adige20040907_id405597,Invece si è dovuto [ accontentare ] di un punticino senza reti e anche senza troppe recriminazioni .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è [ stata ] proprio la squadra che all' esordio aveva affrontato il Salorno .,4,19,accontentare,stata,1,2,0,AFTER
8,adige20040907_id405597,Invece si è dovuto [ accontentare ] di un punticino senza reti e anche senza troppe recriminazioni .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è stata proprio la squadra che all' esordio aveva [ affrontato ] il Salorno .,4,27,accontentare,affrontato,1,2,0,VAGUE
9,adige20040907_id405597,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a [ vincere ] il campionato è stata proprio la squadra che all' esordio aveva affrontato il Salorno .,Si possono comunque consolare i biancocelesti guardando la statistica : negli ultimi due anni a vincere il campionato è [ stata ] proprio la squadra che all' esordio aveva affrontato il Salorno .,15,19,vincere,stata,2,2,1,BEFORE
